FIRST,LAST,Total Points,STATUS,Position,Movie1,Movie2,Movie3,Movie4
Michael,Shannon,0,Free Agent,ACTOR,Fahrenheit 451,12 Strong,What They Had,
J.K.,Simmons,0,Free Agent,ACTOR,The Front Runner,,,
Sebastian,Stan,0,Free Agent,ACTOR,The Last Full Measure,Avengers: Infinity War,We Have Always Lived in the Castle,Destroyer
Corey,Stoll,0,Free Agent,ACTOR,First Man,The Seagull,Driven,
David,Tennant,0,Free Agent,ACTOR,Mary Queen of Scots,Bad Samaritan,,
Tom,Waits,0,Free Agent,ACTOR,The Old Man & the Gun,The Ballad of Buster Scruggs,,
Sam,Waterston,0,Free Agent,ACTOR,On the Basis of Sex,,,
Dominic,West,0,Free Agent,ACTOR,Tomb Raider,Colette,,
Alex,Wolff,0,Free Agent,ACTOR,Hereditary,Dude,,
Xavier,Dolan,0,Free Agent,ACTOR DIRECTOR EDITOR SCREENPLAY,Bad Times at the El Royale,Boy Erased,The Death and Life of John F. Donovan,
Joel,Edgerton,0,Free Agent,ACTOR DIRECTOR SCREENPLAY,Boy Erased,Red Sparrow,Gringo,
Rupert,Everett,0,Free Agent,ACTOR DIRECTOR SCREENPLAY,The Happy Prince,,,
John,Krasinski,0,Free Agent,ACTOR DIRECTOR SCREENPLAY,A Quiet Place,Animal Crackers,Next Gen,
Rafael,Casal,0,Free Agent,ACTOR SCREENPLAY,Blindspotting,,,
Daveed,Diggs,0,Free Agent,ACTOR SCREENPLAY,Blindspotting,,,
Simon,Farnaby,0,Free Agent,ACTOR SCREENPLAY,Paddington 2,Christopher Robin,,
Ryan,Reynolds,0,Free Agent,ACTOR SCREENPLAY,Deadpool 2,,,
Kathy,Bates,0,Free Agent,ACTRESS,On the Basis of Sex,The Death and Life of John F. Donovan,,
Lucy,Boynton,0,Free Agent,ACTRESS,Bohemian Rhapsody,Apostle,,
Sandra,Bullock,0,Free Agent,ACTRESS,Bird Box,Ocean's Eight,,
Linda,Cardellini,0,Free Agent,ACTRESS,Hunter Killer,Green Book,A Simple Favor,
Toni,Collette,0,Free Agent,ACTRESS,Hereditary,Hearts Beat Loud,,
Penelope,Cruz,0,Free Agent,ACTRESS,Everybody Knows,,,
Tyne,Daly,0,Free Agent,ACTRESS,The Ballad of Buster Scruggs,,,
Blythe,Danner,0,Free Agent,ACTRESS,What They Had,Hearts Beat Loud,,
Elizabeth,Debicki,0,Free Agent,ACTRESS,Widows,Vita and Virginia,The Cloverfield Paradox,The Tale
Cynthia,Erivo,0,Free Agent,ACTRESS,Widows,Bad Times at the El Royale,,
Vera,Farmiga,0,Free Agent,ACTRESS,The Front Runner,Skin,The Commuter,
Danai,Gurira,0,Free Agent,ACTRESS,Black Panther,Avengers: Infinity War,,
Maggie,Gyllenhaal,0,Free Agent,ACTRESS,The Kindergarten Teacher,,,
Laura,Harrier,0,Free Agent,ACTRESS,BlacKkKlansman,,,
Dakota,Johnson,0,Free Agent,ACTRESS,Suspiria,The Peanut Butter Falcon,Fifty Shades Freed,Bad Times at the El Royale
Felicity,Jones,0,Free Agent,ACTRESS,On the Basis of Sex,,,
Riley,Keough,0,Free Agent,ACTRESS,The House That Jack Built,Hold the Dark,Under the Silver Lake,
Keira,Knightley,0,Free Agent,ACTRESS,Colette,The Nutcracker and the Four Realms,,
Joanna,Kulig,0,Free Agent,ACTRESS,Cold War,,,
Jennifer Jason,Leigh,0,Free Agent,ACTRESS,Annihilation,White Boy Rick,,
Kelly,Macdonald,0,Free Agent,ACTRESS,Holmes & Watson,Ralph Breaks the Internet,Puzzle,
Andie,MacDowell,0,Free Agent,ACTRESS,Love After Love,,,
Zosia,Mamet,0,Free Agent,ACTRESS,Under the Silver Lake,,,
Leslie,Mann,0,Free Agent,ACTRESS,Blockers,Welcome to Marwen,,
Tatiana,Maslany,0,Free Agent,ACTRESS,Destroyer,,,
Rachel,McAdams,0,Free Agent,ACTRESS,Game Night,Disobedience,,
Janelle,Monae,0,Free Agent,ACTRESS,Welcome to Marwen,,,
Chloe Grace,Moretz,0,Free Agent,ACTRESS,Suspiria,Greta,The Miseducation of Cameron Post,
Carey,Mulligan,0,Free Agent,ACTRESS,Wildlife,,,
Teyonah,Parris,0,Free Agent,ACTRESS,If Beale Street Could Talk,,,
Sarah,Paulson,0,Free Agent,ACTRESS,Bird Box,Ocean's Eight,,
Rosamund,Pike,0,Free Agent,ACTRESS,A Private War,Beirut,7 Days in Entebbe,
Alison,Pill,0,Free Agent,ACTRESS,Ideal Home,Vice,,
Natalie,Portman,0,Free Agent,ACTRESS,Annihilation,The Death and Life of John F. Donovan,Vox Lux,
Michelle,Rodriguez,0,Free Agent,ACTRESS,Alita: Battle Angel,Widows,,
Gina,Rodriguez,0,Free Agent,ACTRESS,Annihilation,Smallfoot,,
Saoirse,Ronan,0,Free Agent,ACTRESS,Mary Queen of Scots,On Chesil Beach,The Seagull,
Amy,Ryan,0,Free Agent,ACTRESS,Beautiful Boy,,,
Molly,Shannon,0,Free Agent,ACTRESS,Hotel Transylvania 3: Summer Vacation,Private Life,,
Milly,Shapiro,0,Free Agent,ACTRESS,Hereditary,,,
Millicent,Simmonds,0,Free Agent,ACTRESS,A Quiet Place,,,
Anna Deavere,Smith,0,Free Agent,ACTRESS,Can You Ever Forgive Me?,,,
Sissy,Spacek,0,Free Agent,ACTRESS,The Old Man & the Gun,,,
Meryl,Streep,0,Free Agent,ACTRESS,Mary Poppins Returns,Mamma Mia! Here We Go Again,,
Hilary,Swank,0,Free Agent,ACTRESS,What They Had,,,
Tilda,Swinton,0,Free Agent,ACTRESS,Suspiria,Isle of Dogs,,
Charlize,Theron,0,Free Agent,ACTRESS,Tully,Gringo,,
Maura,Tierney,0,Free Agent,ACTRESS,Beautiful Boy,,,
Emily,Watson,0,Free Agent,ACTRESS,On Chesil Beach,The Happy Prince,,
Merritt,Wever,0,Free Agent,ACTRESS,Charlie Says,Welcome to Marwen,Irreplaceable You,
Dianne,Wiest,0,Free Agent,ACTRESS,The Mule,,,
Letitia,Wright,0,Free Agent,ACTRESS,The Commuter,Ready Player One,Black Panther,Avengers: Infinity War
Constance,Wu,0,Free Agent,ACTRESS,Crazy Rich Asians,Next Gen,,
Michelle,Yeoh,0,Free Agent,ACTRESS,Crazy Rich Asians,,,
Nadine,Labaki,0,Free Agent,ACTRESS DIRECTOR SCREENPLAY,Capernaum,,,
Eileen,Atkins,0,Free Agent,ACTRESS SCREENPLAY,Vita and Virginia,Paddington 2,,
Zoe,Kazan,0,Free Agent,ACTRESS SCREENPLAY,The Ballad of Buster Scruggs,Wildlife,,
ANIMATED,Ana y Bruno,0,Free Agent,ANIMATED,Ana y Bruno,,,
ANIMATED,Animal Crackers,0,Free Agent,ANIMATED,Animal Crackers,,,
ANIMATED,Batman Ninja,0,Free Agent,ANIMATED,Batman Ninja,,,
ANIMATED,Big Fish & Begonia,0,Free Agent,ANIMATED,Big Fish & Begonia,,,
ANIMATED,Dilili in Paris,0,Free Agent,ANIMATED,Dilili in Paris,,,
ANIMATED,Dragon Ball Super: Broly,0,Free Agent,ANIMATED,Dragon Ball Super: Broly,,,
ANIMATED,Duck Duck Goose,0,Free Agent,ANIMATED,Duck Duck Goose,,,
ANIMATED,Fireworks Should We See It from the Side or The Bottom?,0,Free Agent,ANIMATED,Fireworks Should We See It from the Side or The Bottom?,,,
ANIMATED,Have a Nice Day,0,Free Agent,ANIMATED,Have a Nice Day,,,
ANIMATED,Hotel Transylvania 3: Summer Vacation,0,Free Agent,ANIMATED,Hotel Transylvania 3: Summer Vacation,,,
ANIMATED,Liz and the Blue Bird,0,Free Agent,ANIMATED,Liz and the Blue Bird,,,
ANIMATED,Lu Over the Wall,0,Free Agent,ANIMATED,Lu Over the Wall,,,
ANIMATED,Luis and the Aliens,0,Free Agent,ANIMATED,Luis and the Aliens,,,
ANIMATED,Maquia: When the Promised Flower Blooms,0,Free Agent,ANIMATED,Maquia: When the Promised Flower Blooms,,,
ANIMATED,Marvel Rising: Secret Warriors,0,Free Agent,ANIMATED,Marvel Rising: Secret Warriors,,,
ANIMATED,MFKZ,0,Free Agent,ANIMATED,MFKZ,,,
ANIMATED,Mirai,0,Free Agent,ANIMATED,Mirai,,,
ANIMATED,Monster Family,0,Free Agent,ANIMATED,Monster Family,,,
ANIMATED,My Hero Academia: The Movie,0,Free Agent,ANIMATED,My Hero Academia: The Movie,,,
ANIMATED,Next Gen,0,Free Agent,ANIMATED,Next Gen,,,
ANIMATED,Night Is Short Walk On Girl,0,Free Agent,ANIMATED,Night Is Short Walk On Girl,,,
ANIMATED,On Happiness Road,0,Free Agent,ANIMATED,On Happiness Road,,,
ANIMATED,Peter Rabbit,0,Free Agent,ANIMATED,Peter Rabbit,,,
ANIMATED,Ruben Brandt Collector,0,Free Agent,ANIMATED,Ruben Brandt Collector,,,
ANIMATED,Sgt. Stubby: An American Hero,0,Free Agent,ANIMATED,Sgt. Stubby: An American Hero,,,
ANIMATED,Sherlock Gnomes,0,Free Agent,ANIMATED,Sherlock Gnomes,,,
ANIMATED,Smallfoot,0,Free Agent,ANIMATED,Smallfoot,,,
ANIMATED,Tall Tales,0,Free Agent,ANIMATED,Tall Tales,,,
ANIMATED,Teen Titans Go! To the Movies,0,Free Agent,ANIMATED,Teen Titans Go! To the Movies,,,
ANIMATED,Tehran Taboo,0,Free Agent,ANIMATED,Tehran Taboo,,,
ANIMATED,The Laws of the Universe - Part I,0,Free Agent,ANIMATED,The Laws of the Universe - Part I,,,
ANIMATED,The Tower,0,Free Agent,ANIMATED,The Tower,,,
ANIMATED,Tito and the Birds,0,Free Agent,ANIMATED,Tito and the Birds,,,
ANIMATED,Trolled,0,Free Agent,ANIMATED,Trolled,,,
ANIMATED,White Fang,0,Free Agent,ANIMATED,White Fang,,,
Jose Luis,Alcaine,0,Free Agent,CINEMATOGRAPHY,Everybody Knows,,,
Joe,Anderson,0,Free Agent,CINEMATOGRAPHY,The Old Man & the Gun,,,
Christopher,Aoun,0,Free Agent,CINEMATOGRAPHY,Capernaum,,,
Juan Sebastian,Baron,0,Free Agent,CINEMATOGRAPHY,Searching,,,
Dion,Beebe,0,Free Agent,CINEMATOGRAPHY,Mary Poppins Returns,,,
Yves,Bélanger,0,Free Agent,CINEMATOGRAPHY,The Mule,,,
Sean,Bobbitt,0,Free Agent,CINEMATOGRAPHY,On Chesil Beach,Widows,,
Ulf,Brantas,0,Free Agent,CINEMATOGRAPHY,The Wife,,,
Vanja,Cernjul,0,Free Agent,CINEMATOGRAPHY,Crazy Rich Asians,,,
Charlotte Bruus,Christensen,0,Free Agent,CINEMATOGRAPHY,A Quiet Place,,,
Danny,Cohen,0,Free Agent,CINEMATOGRAPHY,King of Thieves,Disobedience,,
John,Conroy,0,Free Agent,CINEMATOGRAPHY,The Happy Prince,Yardie,,
Lol,Crawley,0,Free Agent,CINEMATOGRAPHY,Vox Lux,,,
Benoit,Debie,0,Free Agent,CINEMATOGRAPHY,The Sisters Brothers,,,
Bruno,Delbonnel,0,Free Agent,CINEMATOGRAPHY,The Ballad of Buster Scruggs,,,
Benoit,Delhomme,0,Free Agent,CINEMATOGRAPHY,At Eternity's Gate,,,
Stuart,Dryburgh,0,Free Agent,CINEMATOGRAPHY,Ben Is Back,,,
Alexander,Dynan,0,Free Agent,CINEMATOGRAPHY,First Reformed,,,
Doug,Emmett,0,Free Agent,CINEMATOGRAPHY,Sorry to Bother You,,,
Greig,Fraser,0,Free Agent,CINEMATOGRAPHY,Mary Magdalene,Vice,,
Mike,Gioulakis,0,Free Agent,CINEMATOGRAPHY,Under the Silver Lake,,,
Michael,Grady,0,Free Agent,CINEMATOGRAPHY,On the Basis of Sex,,,
Eduard,Grau,0,Free Agent,CINEMATOGRAPHY,Gringo,Boy Erased,,
Gary,Graver,0,Free Agent,CINEMATOGRAPHY,The Other Side of the Wind,,,
John,Guleserian,0,Free Agent,CINEMATOGRAPHY,Love Simon,Zoe,,
Rob,Hardy,0,Free Agent,CINEMATOGRAPHY,Annihilation,Mission: Impossible - Fallout,,
Ruben,Impens,0,Free Agent,CINEMATOGRAPHY,Beautiful Boy,,,
Chayse,Irvin,0,Free Agent,CINEMATOGRAPHY,BlacKkKlansman,,,
Julie,Kirkwood,0,Free Agent,CINEMATOGRAPHY,Destroyer,,,
Mihai,Malaimare Jr.,0,Free Agent,CINEMATOGRAPHY,Delirium,The Hate U Give,,
John,Mathieson,0,Free Agent,CINEMATOGRAPHY,Mary Queen of Scots,,,
Michael,McDonough,0,Free Agent,CINEMATOGRAPHY,Leave No Trace,,,
C. Kim,Miles,0,Free Agent,CINEMATOGRAPHY,Welcome to Marwen,,,
Sayombhu,Mukdeeprom,0,Free Agent,CINEMATOGRAPHY,Suspiria,,,
Christopher,Norr,0,Free Agent,CINEMATOGRAPHY,Puzzle,,,
Giles,Nuttgens,0,Free Agent,CINEMATOGRAPHY,Colette,,,
Trent,Opaloch,0,Free Agent,CINEMATOGRAPHY,Avengers: Infinity War,,,
Pawel,Pogorzelski,0,Free Agent,CINEMATOGRAPHY,Hereditary,,,
Dick,Pope,0,Free Agent,CINEMATOGRAPHY,Peterloo,,,
Sean,Porter,0,Free Agent,CINEMATOGRAPHY,Green Book,,,
Tat,Radcliffe,0,Free Agent,CINEMATOGRAPHY,White Boy Rick,,,
Joshua James,Richards,0,Free Agent,CINEMATOGRAPHY,The Rider,,,
Pal Ulvik,Rokseth,0,Free Agent,CINEMATOGRAPHY,22-Jul,,,
Laurie,Rose,0,Free Agent,CINEMATOGRAPHY,Stan & Ollie,Overlord,,
Philippe,Rousselot,0,Free Agent,CINEMATOGRAPHY,Fantastic Beasts: The Crimes of Grindelwald,,,
Patrick,Scola,0,Free Agent,CINEMATOGRAPHY,Monsters and Men,,,
Newton Thomas,Sigel,0,Free Agent,CINEMATOGRAPHY,Bohemian Rhapsody,,,
Eric,Steelberg,0,Free Agent,CINEMATOGRAPHY,Tully,The Front Runner,,
Salvatore,Totino,0,Free Agent,CINEMATOGRAPHY,Bird Box,,,
Brandon,Trost,0,Free Agent,CINEMATOGRAPHY,Can You Ever Forgive Me?,,,
Andrew,Wehde,0,Free Agent,CINEMATOGRAPHY,Eighth Grade,,,
Lukasz,Zal,0,Free Agent,CINEMATOGRAPHY,Cold War,,,
Nicholas D.,Johnson,0,Free Agent,CINEMATOGRAPHY EDITOR,Searching,,,
Will,Merrick,0,Free Agent,CINEMATOGRAPHY EDITOR,Searching,,,
Begonia,Berges,0,Free Agent,COSTUME DESIGN,Monsters and Men,,,
Arjun,Bhasin,0,Free Agent,COSTUME DESIGN,The Happytime Murders,Can You Ever Forgive Me?,Here and Now,
Annell,Brodeur,0,Free Agent,COSTUME DESIGN,The Old Man & the Gun,,,
Milena,Canonero,0,Free Agent,COSTUME DESIGN,The Sisters Brothers,,,
Giovanni,Casalnuovo,0,Free Agent,COSTUME DESIGN,The Happy Prince,,,
Eric,Daman,0,Free Agent,COSTUME DESIGN,Love Simon,,,
Julian,Day,0,Free Agent,COSTUME DESIGN,Bohemian Rhapsody,Terminal,Robin Hood,
Paco,Delgado,0,Free Agent,COSTUME DESIGN,A Wrinkle in Time,,,
Odile,Dicks-Mireaux,0,Free Agent,COSTUME DESIGN,Disobedience,,,
Jacqueline,Durran,0,Free Agent,COSTUME DESIGN,Peterloo,Mary Magdalene,,
Jenny,Eagan,0,Free Agent,COSTUME DESIGN,Widows,American Animals,,
Margret,Einarsdottir,0,Free Agent,COSTUME DESIGN,22-Jul,,,
Caroline,Eselin,0,Free Agent,COSTUME DESIGN,Under the Silver Lake,If Beale Street Could Talk,,
Audrey,Fisher,0,Free Agent,COSTUME DESIGN,Destroyer,,,
Andrea,Flesch,0,Free Agent,COSTUME DESIGN,Colette,,,
Amanda,Ford,0,Free Agent,COSTUME DESIGN,Wildlife,Her Smell,,
Danny,Glicker,0,Free Agent,COSTUME DESIGN,The Front Runner,Serenity,Bad Times at the El Royale,Don't Worry He Won't Get Far on Foot
Mirren,Gordon-Crozier,0,Free Agent,COSTUME DESIGN,Skin,I Think We're Alone Now,Teen Spirit,Puzzle
Deirdra Elizabeth,Govan,0,Free Agent,COSTUME DESIGN,Sorry to Bother You,,,
Sonia,Grande,0,Free Agent,COSTUME DESIGN,Everybody Knows,,,
Betsy,Heimann,0,Free Agent,COSTUME DESIGN,The Commuter,Green Book,,
Joanna,Johnston,0,Free Agent,COSTUME DESIGN,Welcome to Marwen,,,
Keri,Langerman,0,Free Agent,COSTUME DESIGN,Vox Lux,,,
Judianna,Makovsky,0,Free Agent,COSTUME DESIGN,Avengers: Infinity War,,,
Susan,Matheson,0,Free Agent,COSTUME DESIGN,Vice,,,
Olga,Mill,0,Free Agent,COSTUME DESIGN,First Reformed,Hereditary,,
Maurizio,Millenotti,0,Free Agent,COSTUME DESIGN,The Happy Prince,,,
Isis,Mussenden,0,Free Agent,COSTUME DESIGN,On the Basis of Sex,,,
Erin Aldridge,Orr,0,Free Agent,COSTUME DESIGN,Leave No Trace,,,
Giulia,Piersanti,0,Free Agent,COSTUME DESIGN,Suspiria,,,
Marci,Rodgers,0,Free Agent,COSTUME DESIGN,BlacKkKlansman,,,
Karen Muller,Serreau,0,Free Agent,COSTUME DESIGN,At Eternity's Gate,,,
Sammy,Sheldon,0,Free Agent,COSTUME DESIGN,Annihilation,Jurassic World: Fallen Kingdom,,
Guy,Speranza,0,Free Agent,COSTUME DESIGN,Stan & Ollie,,,
Trish,Summerville,0,Free Agent,COSTUME DESIGN,Red Sparrow,Boy Erased,,
Anna,Terrazas,0,Free Agent,COSTUME DESIGN,Roma,,,
Mary E.,Vogt,0,Free Agent,COSTUME DESIGN,Crazy Rich Asians,,,
Kasia,Walicka-Maimone,0,Free Agent,COSTUME DESIGN,Ready Player One,A Quiet Place,,
Amy,Westcott,0,Free Agent,COSTUME DESIGN,White Boy Rick,,,
Mary,Zophres,0,Free Agent,COSTUME DESIGN,First Man,The Ballad of Buster Scruggs,,
Jon S.,Baird,0,Free Agent,DIRECTOR,Stan & Ollie,,,
Susanne,Bier,0,Free Agent,DIRECTOR,Bird Box,,,
Jon M.,Chu,0,Free Agent,DIRECTOR,Crazy Rich Asians,,,
Yann,Demange,0,Free Agent,DIRECTOR,White Boy Rick,,,
Luca,Guadagnino,0,Free Agent,DIRECTOR,Suspiria,,,
Marielle,Heller,0,Free Agent,DIRECTOR,Can You Ever Forgive Me?,,,
Karyn,Kusama,0,Free Agent,DIRECTOR,Destroyer,,,
Mimi,Leder,0,Free Agent,DIRECTOR,On the Basis of Sex,,,
David,Leitch,0,Free Agent,DIRECTOR,Deadpool 2,,,
Rob,Marshall,0,Free Agent,DIRECTOR,Mary Poppins Returns,,,
Josie,Rourke,0,Free Agent,DIRECTOR,Mary Queen of Scots,,,
Björn,Runge,0,Free Agent,DIRECTOR,The Wife,,,
Julian,Schnabel,0,Free Agent,DIRECTOR EDITOR SCREENPLAY,At Eternity's Gate,,,
Gus,Van Sant,0,Free Agent,DIRECTOR EDITOR SCREENPLAY,Don't Worry He Won't Get Far on Foot,,,
Orson,Welles,0,Free Agent,DIRECTOR EDITOR SCREENPLAY,The Other Side of the Wind,,,
Wes,Anderson,0,Free Agent,DIRECTOR SCREENPLAY,Isle of Dogs,,,
Jacques,Audiard,0,Free Agent,DIRECTOR SCREENPLAY,The Sisters Brothers,,,
Brad,Bird,0,Free Agent,DIRECTOR SCREENPLAY,Incredibles 2,,,
Elizabeth,Chomko,0,Free Agent,DIRECTOR SCREENPLAY,What They Had,,,
Ethan,Coen,0,Free Agent,DIRECTOR SCREENPLAY,The Ballad of Buster Scruggs,,,
Joel,Coen,0,Free Agent,DIRECTOR SCREENPLAY,The Ballad of Buster Scruggs,,,
Brady,Corbet,0,Free Agent,DIRECTOR SCREENPLAY,Vox Lux,,,
Paul,Dano,0,Free Agent,DIRECTOR SCREENPLAY,Wildlife,,,
Asghar,Farhadi,0,Free Agent,DIRECTOR SCREENPLAY,Everybody Knows,,,
Alex,Garland,0,Free Agent,DIRECTOR SCREENPLAY,Annihilation,,,
Debra,Granik,0,Free Agent,DIRECTOR SCREENPLAY,Leave No Trace,,,
Reinaldo Marcus,Green,0,Free Agent,DIRECTOR SCREENPLAY,Monsters and Men,,,
Paul,Greengrass,0,Free Agent,DIRECTOR SCREENPLAY,22-Jul,,,
Felix Van,Groeningen,0,Free Agent,DIRECTOR SCREENPLAY,Beautiful Boy,,,
Brett,Haley,0,Free Agent,DIRECTOR SCREENPLAY,Hearts Beat Loud,,,
Peter,Hedges,0,Free Agent,DIRECTOR SCREENPLAY,Ben Is Back,,,
Armando,Iannucci,0,Free Agent,DIRECTOR SCREENPLAY,The Death of Stalin,,,
Paul,King,0,Free Agent,DIRECTOR SCREENPLAY,Paddington 2,,,
Sebastian,Lelio,0,Free Agent,DIRECTOR SCREENPLAY,Disobedience,Gloria Bell,,
David,Lowery,0,Free Agent,DIRECTOR SCREENPLAY,The Old Man & the Gun,,,
Adam,McKay,0,Free Agent,DIRECTOR SCREENPLAY,Vice,,,
Steve,McQueen,0,Free Agent,DIRECTOR SCREENPLAY,Widows,,,
David Robert,Mitchell,0,Free Agent,DIRECTOR SCREENPLAY,Under the Silver Lake,,,
Pawel,Pawlikowski,0,Free Agent,DIRECTOR SCREENPLAY,Cold War,,,
Lynne,Ramsay,0,Free Agent,DIRECTOR SCREENPLAY,You Were Never Really Here,,,
